campaign_name,brand,campaign_channel,campaign_cost,revenue_during,roi
Toyota Launch 2024,Toyota,Social,800000000,36601584000.0,44.75
Honda Tukar Tambah 2023,Honda,Event,600000000,20907294000.0,33.85
Toyota Year-End 2025,Toyota,Print,1600000000,51739098000.0,31.34
Toyota Launch 2025,Toyota,Digital,1500000000,45658185000.0,29.44
Honda Tukar Tambah 2022,Honda,Event,700000000,19043826000.0,26.21
Toyota Launch 2024,Toyota,Event,2500000000,62766282000.0,24.11
Honda Promo 2021,Honda,TV,1100000000,25012407000.0,21.74
Honda Year-End 2025,Honda,Event,1500000000,33057465000.0,21.04
Toyota Festival 2021,Toyota,Print,1500000000,30543093000.0,19.36
Honda Year-End 2022,Honda,Digital,1400000000,26132508000.0,17.67
Toyota Launch 2023,Toyota,Social,3200000000,59504991000.0,17.6
Toyota Year-End 2025,Toyota,Event,1900000000,35259705000.0,17.56
